Type	Arg1	Arg2
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
No Foil	No Foil	No Foil
