Type	Arg1	Arg2
Rotate	Capsule	 X30
Rotate	Capsule	 X60
Rotate	Capsule	 X90
Rotate	Capsule	 Y30
Rotate	Capsule	 Y60
Rotate	Capsule	 Y90
Rotate	Capsule	 Z30
Rotate	Capsule	 Z60
Rotate	Capsule	 Z90
Rotate	Pyramid	 X30
Rotate	Pyramid	 X60
Rotate	Pyramid	 X90
Rotate	Pyramid	 Y30
Rotate	Pyramid	 Y60
Rotate	Pyramid	 Y90
Rotate	Pyramid	 Z30
Rotate	Pyramid	 Z60
Rotate	Pyramid	 Z90
Rotate	Cube	 X30
Rotate	Cube	 X60
Rotate	Cube	 Y30
Rotate	Cube	 Y60
Rotate	Cube	 Z30
Rotate	Cube	 Z60
Rotate	Cylinder	 X30
Rotate	Cylinder	 X60
Rotate	Cylinder	 X90
Rotate	Cylinder	 Z30
Rotate	Cylinder	 Z60
Rotate	Cylinder	 Z90
